State,Month,Tested,Confirmed,Deceased,latitude,longitude,population,Status,AQIUS,PM25,PM10,Temp,Humid
HIMACHAL PRADESH,2020-05,571215,3917,112,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-04,41161198,2295744,35587,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-03,36458224,1871820,31022,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-08,5585794,129755,654,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-07,81913193,6328543,108027,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-09,7624738,315811,2993,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-01,26960677,1758274,29468,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-10,110800196,6865836,114727,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-08,94036739,6514696,109711,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-02,28482854,1628445,27367,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-12,20068846,1545079,25282,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
JAMMU AND KASHMIR,2020-07,15232285,403810,6939,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-09,38713021,1708366,28101,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-02,136236951,3511773,54575,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-07,337468607,9896342,135176,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-03,174275759,3972372,61206,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-11,79798346,3085122,47709,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-06,278534780,9222035,125512,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-06,8185177,154356,1934,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-08,24672047,893556,16841,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-08,390550782,10028252,136282,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-12,106242023,3614397,56071,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-05,245955509,7484034,97394,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-09,423826640,9823209,132457,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-04,197781,9208,133,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-05,2622050,39104,478,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-01,130816315,3816768,59389,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-03,0,266,4,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-10,483425666,10259867,137252,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2020-10,60868980,2677256,42073,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JAMMU AND KASHMIR,2021-04,200053881,4407049,62300,34.29995933,74.46665849,10000000,GOOD,30,8,13,12,70
JHARKHAND,2021-04,190369193,4892609,45983,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2021-07,335450224,10742577,158738,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2020-12,140596429,3478088,31059,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2021-01,155793014,3637535,32616,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
JHARKHAND,2021-05,239420964,9459529,132294,23.80039349,86.41998572,10000000,POOR,126,45,129,29,36
